report;sys_time;sim_state;net_op_name;net_type;rssi
0;20241030220000;READY;Simulated Carrier;LTE;-89.0
1;20241030220010;READY;Simulated Carrier;LTE;-91.7
2;20241030220020;READY;Simulated Carrier;LTE;-88.7
3;20241030220030;READY;Simulated Carrier;LTE;-85.1
4;20241030220040;READY;Simulated Carrier;LTE;-92.4
5;20241030220050;READY;Simulated Carrier;LTE;-92.5
6;20241030220100;READY;Simulated Carrier;LTE;-85.3
7;20241030220110;READY;Simulated Carrier;LTE;-88.4
8;20241030220120;READY;Simulated Carrier;LTE;-93.4
9;20241030220130;READY;Simulated Carrier;LTE;-89.3
10;20241030220140;READY;Simulated Carrier;LTE;-93.3
11;20241030220150;READY;Simulated Carrier;LTE;-93.5
12;20241030220200;READY;Simulated Carrier;LTE;-90.6
13;20241030220210;READY;Simulated Carrier;LTE;-99.2
14;20241030220220;READY;Simulated Carrier;LTE;-98.4
15;20241030220230;READY;Simulated Carrier;LTE;-93.3
16;20241030220240;READY;Simulated Carrier;LTE;-95.4
17;20241030220250;READY;Simulated Carrier;LTE;-89.9
18;20241030220300;READY;Simulated Carrier;LTE;-94.8
19;20241030220310;READY;Simulated Carrier;LTE;-96.8
20;20241030220320;READY;Simulated Carrier;LTE;-85.3
21;20241030220330;READY;Simulated Carrier;LTE;-92.1
22;20241030220340;READY;Simulated Carrier;LTE;-91.0
23;20241030220350;READY;Simulated Carrier;LTE;-96.9
24;20241030220400;READY;Simulated Carrier;LTE;-93.5
25;20241030220410;READY;Simulated Carrier;LTE;-90.8
26;20241030220420;READY;Simulated Carrier;LTE;-95.9
27;20241030220430;READY;Simulated Carrier;LTE;-89.9
28;20241030220440;READY;Simulated Carrier;LTE;-93.9
29;20241030220450;READY;Simulated Carrier;LTE;-92.5
30;20241030220500;READY;Simulated Carrier;LTE;-93.8
31;20241030220510;READY;Simulated Carrier;LTE;-84.0
32;20241030220520;READY;Simulated Carrier;LTE;-91.5
33;20241030220530;READY;Simulated Carrier;LTE;-95.6
34;20241030220540;READY;Simulated Carrier;LTE;-88.0
35;20241030220550;READY;Simulated Carrier;LTE;-96.0
36;20241030220600;READY;Simulated Carrier;LTE;-90.3
37;20241030220610;READY;Simulated Carrier;LTE;-98.9
38;20241030220620;READY;Simulated Carrier;LTE;-96.4
39;20241030220630;READY;Simulated Carrier;LTE;-90.1
40;20241030220640;READY;Simulated Carrier;LTE;-88.0
